Date,MemTotal,MemFree,MemAvailable,Cached,SwapTotal,SwapFree,SwapCached
2020-10-25 12:02,2013304,80992,462096,574984,2097148,2075388,6280
2020-10-25 12:03,2013304,81084,462092,574984,2097148,2075388,6280
2020-10-25 12:04,2013304,81060,462060,574984,2097148,2075388,6280
2020-10-25 12:05,2013304,81060,461924,574984,2097148,2075388,6280
2020-10-25 12:06,2013304,91772,472712,574980,2097148,2075388,6280
2020-10-25 12:07,2013304,91680,472596,574980,2097148,2075388,6280
2020-10-25 12:08,2013304,91732,472708,574980,2097148,2075388,6280
2020-10-25 12:09,2013304,91740,472696,574980,2097148,2075388,6280
2020-10-25 12:10,2013304,91784,472600,574980,2097148,2075388,6280
2020-10-25 12:13,2013304,91852,472516,574980,2097148,2075388,6280
2020-10-25 12:14,2013304,91716,472608,574980,2097148,2075388,6280
2020-10-25 12:15,2013304,91860,472612,574980,2097148,2075388,6280
2020-10-25 12:16,2013304,91796,472612,574980,2097148,2075388,6280
2020-10-25 12:17,2013304,91736,472612,574980,2097148,2075388,6280
2020-10-25 12:18,2013304,91676,472644,574980,2097148,2075388,6280
2020-10-25 12:19,2013304,91660,472536,574980,2097148,2075388,6280
2020-10-25 12:20,2013304,91704,472644,574980,2097148,2075388,6280
2020-10-25 12:21,2013304,124304,474616,543128,2097148,2073084,6584
2020-10-25 12:22,2013304,124232,474592,543184,2097148,2073084,6584
2020-10-25 12:23,2013304,124124,474504,543184,2097148,2073084,6584
