Date,MemTotal,MemFree,Buffers,Cached,SwapCached,SwapTotal,SwapUsed,eAPPVsz,eAPPRss,eAPPSwap,eOMCVsz,eOMCRss,eOMCSwap,mysqlVsz,mysqlRss,mysqlSwap,rootVsz,rootRss,rootSwap,LogType,EventType,Slab
2020-08-10 11:10:07,8021524,4415288,133804,2657900,10992,4192252,142192,1213292,62504,5796,0,0,0,1162812,259108,0,3529608,328400,137444,MEM,SYS,157464
2020-08-10 11:15:18,8021524,1539600,6816,327448,42112,4192252,624160,61554540,5655064,427192,0,0,0,1320740,128612,252748,3862180,210980,187968,MEM,SYS,112176
2020-08-10 11:20:04,8021524,1369064,12460,191544,228720,4192252,1539816,64282968,5564496,1130456,0,0,0,1390244,103780,286228,3174940,206852,180836,MEM,SYS,134180
2020-08-10 11:25:04,8021524,1379496,6172,171772,222808,4192252,1979140,74906452,5619376,1457632,0,0,0,1394468,102984,288592,2819068,211448,180052,MEM,SYS,149728
2020-08-10 11:30:04,8021524,1370428,12964,167140,206108,4192252,2153708,74941564,5445228,1661060,0,0,0,1394468,105180,287808,2695000,202936,178544,MEM,SYS,127868
2020-08-10 11:35:04,8021524,1354476,9588,177664,225272,4192252,2132032,75015128,5551944,1687448,0,0,0,1394468,107672,287668,2784208,212064,178204,MEM,SYS,146656
2020-08-10 11:40:04,8021524,1477324,9120,206284,122320,4192252,2236712,75158940,5512948,1760328,0,0,0,1395208,108608,287472,2784208,221220,167320,MEM,SYS,147512
2020-08-10 11:45:04,8021524,1470116,4488,134456,145420,4192252,2274924,75359644,5588680,1807708,0,0,0,1395208,107584,288700,2693956,219476,165660,MEM,SYS,146604
2020-08-10 11:50:05,8021524,1567900,11780,109704,155100,4192252,2479396,75367964,5435260,2014500,0,0,0,1395988,145824,288668,2693956,221588,165660,MEM,SYS,167104
2020-08-10 11:55:04,8021524,1484116,4704,127964,174940,4192252,2465032,75367964,5502472,2007952,0,0,0,1395988,150452,286836,2693956,222776,165656,MEM,SYS,156296
2020-08-10 12:00:16,8021524,1465328,3492,170324,138560,4192252,2628456,75243724,5268716,2239816,0,0,0,1395988,152708,285708,3069976,617996,164748,MEM,SYS,127760
2020-08-10 12:05:04,8021524,1749368,5288,192564,94272,4192252,2803448,75244240,5241700,2353056,0,0,0,1395988,152748,286248,2745216,227620,164740,MEM,SYS,149612
2020-08-10 12:10:04,8021524,1465252,15288,273196,138420,4192252,2728904,75244516,5377376,2281204,0,0,0,1395988,153804,285240,2593008,221308,164720,MEM,SYS,171288
2020-08-10 12:15:03,8021524,1576392,5404,101676,213372,4192252,2733056,75245296,5408092,2290956,0,0,0,1395988,154328,285036,2593008,222624,164716,MEM,SYS,152344
2020-08-10 12:20:04,8021524,1349972,12108,230260,228860,4192252,2733928,75249716,5353908,2318588,0,0,0,1395988,154760,284716,2629892,214316,164708,MEM,SYS,150008
2020-08-10 12:25:04,8021524,1368448,9252,198900,241976,4192252,2759552,75315512,5378196,2395280,0,0,0,1395988,134776,305256,2593008,213428,165348,MEM,SYS,147972
2020-08-10 12:30:04,8021524,1540668,13272,162788,243280,4192252,2934288,75316292,5326608,2468152,0,0,0,1395988,137696,302984,2593012,220468,165348,MEM,SYS,171568
2020-08-10 12:35:04,8021524,1472372,12152,141824,208208,4192252,2856624,75383460,5453608,2401712,0,0,0,1395988,138112,302672,2593008,221652,165348,MEM,SYS,163876
2020-08-10 12:40:04,8021524,1355400,12384,252952,222864,4192252,2888124,75384972,5329656,2470000,0,0,0,1395988,137748,303220,2593008,217092,165448,MEM,SYS,156072
2020-08-10 12:45:04,8021524,1417444,8780,189196,229724,4192252,2881748,75453736,5439824,2425308,0,0,0,1395988,137948,303032,2593008,220656,165448,MEM,SYS,159856
2020-08-10 12:50:04,8021524,1352212,11208,53224,216416,4192252,2878744,75520580,5336696,2476616,0,0,0,1395988,135200,305872,2593140,214964,165444,MEM,SYS,144956
2020-08-10 12:55:03,8021524,1532940,11244,95360,204604,4192252,2892436,75520840,5434224,2435148,0,0,0,1395988,135472,305668,2593008,220612,165440,MEM,SYS,167892
2020-08-10 13:00:04,8021524,1376892,14904,170604,218604,4192252,2847456,75521804,5489556,2390960,0,0,0,1395988,135520,305624,2616464,223032,165440,MEM,SYS,172392
2020-08-10 13:05:04,8021524,1373904,10692,190788,227108,4192252,2867324,75522324,5388740,2425452,0,0,0,1395988,133208,307992,2593008,213104,165440,MEM,SYS,150380
2020-08-10 13:10:04,8021524,1507320,7980,161356,143848,4192252,2894496,75522584,5459192,2433800,0,0,0,1395988,133968,307464,2593008,218960,165440,MEM,SYS,153420
2020-08-10 13:15:04,8021524,1398724,15436,195528,158328,4192252,2873740,75523364,5494104,2413944,0,0,0,1395988,134424,307064,2593008,220020,165440,MEM,SYS,172452
2020-08-10 13:20:04,8021524,1344616,7144,218096,158000,4192252,2889968,75689252,5492544,2415552,0,0,0,1395988,137620,306460,2795528,181384,203932,MEM,SYS,128572
2020-08-10 13:25:03,8021524,1388844,4168,182036,154272,4192252,2925744,75711536,5542756,2432552,0,0,0,1395988,137344,307232,2730836,175912,203984,MEM,SYS,130180
2020-08-10 13:30:04,8021524,1377000,10876,194024,165200,4192252,2936664,75713092,5480984,2542384,0,0,0,1395988,135764,308888,2693952,178472,204092,MEM,SYS,149300
2020-08-10 13:35:05,8021524,1449488,13756,225040,152268,4192252,3075356,75921048,5448976,2586152,0,0,0,1395988,135868,308884,2794900,188872,204044,MEM,SYS,171736
2020-08-10 13:40:04,8021524,1587144,4044,116664,158964,4192252,3084016,75696220,5442832,2596600,0,0,0,1395988,134944,309908,2693956,186268,204044,MEM,SYS,160064
2020-08-10 13:45:04,8021524,1354876,13392,229132,187828,4192252,3039780,75697000,5439876,2606884,0,0,0,1395988,134932,310072,2693956,185628,204100,MEM,SYS,147556
2020-08-10 13:50:04,8021524,1387552,11512,242400,165996,4192252,3065840,75823068,5494884,2580148,0,0,0,1395988,135064,309964,2976016,199420,204100,MEM,SYS,167264
2020-08-10 14:00:03,8021524,4306008,103076,2231024,25456,4192252,270328,7271464,635308,66864,0,0,0,1170284,234544,0,3343688,341796,203884,MEM,SYS,138424
2020-08-10 14:05:04,8021524,4150624,105052,2367604,26364,4192252,267452,7540976,656028,64256,0,0,0,1170544,234804,0,3114284,393120,203884,MEM,SYS,136640
2020-08-10 14:10:04,8021524,3867968,105704,2577476,26932,4192252,263568,7393056,648888,60236,0,0,0,1170544,234804,0,3215228,397124,203880,MEM,SYS,131228
2020-08-10 14:15:04,8021524,1636840,106244,4823140,27756,4192252,263000,7395136,654960,59328,0,0,0,1170544,235064,0,3238160,399704,203880,MEM,SYS,105712
2020-08-10 14:20:03,8021524,5036992,109704,1596668,28000,4192252,262964,8006076,699508,59260,0,0,0,1170544,235100,0,3182144,206128,203880,MEM,SYS,99020
2020-08-10 14:25:03,8021524,5018080,112512,1598740,28312,4192252,262936,7608352,678520,59216,0,0,0,1170544,235100,0,3081332,202652,203880,MEM,SYS,113172
2020-08-10 14:30:03,8021524,5012124,114216,1602220,28312,4192252,262932,7608352,683272,59216,0,0,0,1170544,235100,0,3081200,202584,203880,MEM,SYS,115552
2020-08-10 14:35:03,8021524,4998068,114636,1603992,28884,4192252,262408,7406200,685484,58548,0,0,0,1170544,235100,0,2980468,198664,203880,MEM,SYS,115560
2020-08-10 14:40:31,8021524,1965028,124072,1902036,28944,4192252,261872,52729528,4788844,58276,0,0,0,1261316,289372,0,2868196,196244,203648,MEM,SYS,171264
